paz	peace	noun	feminine	paz		La paz es un valor importante.	Peace is an important value.
noticia	news	noun	feminine	noticias		La noticia es muy interesante.	The news is very interesting.
circunstancia	circumstance	noun	feminine	circunstancias		La circunstancia es importante.	The circumstance is important.
dolor	pain, ache, sorrow	noun	masculine	dolores		El dolor es insoportable.	The pain is unbearable.
privado	private	adjective				La habitación es privada.	The room is private.
estilo	style	noun	masculine	estilos		El estilo de la casa es moderno.	The style of the house is modern.
precio	price, cost, value	noun	masculine	precios		El precio de la entrada es muy caro.	The price of the ticket is very expensive.
popular	popular	adjective				La gente popular es muy respetada.	People who are popular are very respected.
sentar	to sit (down), seat	verb			yo siento, tú sientas, él/ella sienta, nosotros/as sentamos, vosotros/as sentáis, ellos/ellas sientan	Me siento en la silla.	I sit in the chair.
planta	plant, floor	noun	feminine	plantas		La planta crece rápidamente.	The plant grows quickly.
personaje	character (e.g. movie)	noun	masculine	personajes		El personaje principal de la película es muy divertido.	The main character of the movie is very funny.
famoso	famous, well-known	adjective				El actor es muy famoso.	The actor is very famous.
éxito	success	noun	masculine	éxitos		La clave del éxito es trabajar duro.	The key to success is to work hard.
hija	daughter	noun	feminine	hijas		Mi hija está estudiando para un examen.	My daughter is studying for an exam.
merecer	to deserve, be worthy (of)	verb			él/ella merece, nosotros/nosotras merecemos, vosotros/vosotras merecéis, ellos/ellas merecen	Él merece un premio.	He deserves a prize.
edificio	building	noun	masculine	edificios		El edificio es muy alto.	The building is very tall.
autoridad	authority	noun	feminine	autoridades		El presidente es la máxima autoridad del país.	The president is the highest authority of the country.
piedra	stone, rock	noun	fem	piedras		La piedra está en el camino.	The stone is on the road.
incluir	to include	verb			incluyo, incluyes, incluye, incluimos, incluís, incluyen	Incluimos a todos en la fiesta.	We include everyone in the party.
conjunto	group, set	noun	masculine	conjuntos		Los conjuntos de ropa son muy bonitos.	The sets of clothing are very nice.
treinta	thirty	adjective				Tengo treinta años.	I have thirty years.
cuánto	how much?	adjective				¿Cuánto cuesta?	How much does it cost?
inmediato	immediate	adjective				Todo fue inmediato.	Everything was immediate.
suerte	luck, fortune	noun	feminine	suertes		Tengo mucha suerte de tenerte a mi lado.	I'm very lucky to have you by my side.
