siquiera	even (if)	adverb				Aunque no me guste, siquiera lo intentaré.	Even though I don't like it, I'll at least try.
adquirir	to acquire, get	verb			adquiero, adquieres, adquiere, adquirimos, adquirís, adquieren	Mi madre adquirió una casa nueva.	My mother bought a new house.
proyecto	project, plan	noun	masculine	proyectos		El proyecto es muy interesante.	The project is very interesting.
memoria	memory	noun	feminine	memorias		Recuerdo la memoria de mi abuelo con cariño.	I remember my grandfather's memory fondly.
origen	origin, cause	noun	masculine	orígenes		El origen de la vida es un misterio.	The origin of life is a mystery.
elemento	element	noun	masculine	elementos		Los elementos químicos son muy importantes.	The chemical elements are very important.
inglés	English	adjective				Los estudiantes ingleses son muy inteligentes.	The English students are very intelligent.
mercado	market	noun	masculine	mercados		El mercado está abierto todos los días.	The market is open every day.
curso	course, direction	noun	masculine	cursos		El curso comienza el lunes.	The course starts on Monday.
lanzar	to throw, launch	verb			lanzo, lanzas, lanza, lanzamos, lanzáis, lanzan	Ella lanza la pelota al aire.	She throws the ball into the air.
aprovechar	to take advantage of	verb			yo aprovecho, tú aprovechas, él/ella/usted aprovecha, nosotros/as aprovechamos, vosotros/as aprovecháis, ellos/ellas/ustedes aprovechan	Aprovecho la oportunidad para decirte que te quiero.	I take this opportunity to tell you that I love you.
sangre	blood	noun	feminine	sangres		La sangre es importante para la vida.	Blood is important for life.
interior	interior, inside	adjective				El interior de la casa es muy bonito.	The interior of the house is very nice.
duro	hard	adjective	masculine	duros		El trabajo es muy duro.	The work is very hard.
apoyar	to support, lean on	verb			yo apoyo, tú apoyas, él/ella/usted apoya, nosotros/as apoyamos, vosotros/as apoyáis, ellos/ellas/ustedes apoyan	Los estudiantes apoyan la causa.	The students support the cause.
negar	to deny, refuse	verb			no niego, no niegas, no niega, no negamos, no negáis, no niegan	No niego que esto sea cierto.	I do not deny that this is true.
avanzar	to advance, progress	verb			yo avanzo, tú avanzas, él/ella/usted avanza, nosotros/as avanzamos, vosotros/as avanzáis, ellos/ellas/ustedes avanzan	Avanzamos lentamente por el bosque.	We slowly advanced through the forest.
uso	use	verb			uso, usas, usa, usamos, usáis, usan	Yo uso la computadora para trabajar.	I use the computer to work.
brazo	arm	noun	masculine	brazos		El niño levantó el brazo.	The boy raised his arm.
profesor	professor, teacher	noun	masculine	profesores		El profesor explica la lección a los alumnos.	The professor explains the lesson to the students.
resolver	to resolve, settle, work out	verb			resuelvo, resuelves, resuelve, resolvemos, resolvéis, resuelven	Resuelvo el problema con rapidez.	I solve the problem quickly.
futuro	future	adjective				El futuro es incierto.	The future is uncertain.
oportunidad	opportunity, chance	noun	feminine	oportunidades		La oportunidad de estudiar es una bendición.	The opportunity to study is a blessing.
mitad	half, middle	adjective				La mitad de la tarta estaba comida.	Half of the cake was eaten.
costar	to cost, be hard	verb			costar, costs, costaba, costará	El vestido me costó mucho dinero.	The dress cost me a lot of money.
rico	rich, tasty	adjective				Él es muy rico.	He is very rich.
recuerdo	memory, keepsake	noun	masculine	recuerdos		Recuerdo los momentos felices de mi infancia.	I remember the happy moments of my childhood.
total	total, entire	adjective				El total de la cuenta es de cincuenta euros.	The total of the bill is fifty euros.
exigir	to demand	verb			exigir - yo exijo, tú exiges, él/ella exige, nosotros/as exigimos, vosotros/as exigís, ellos/ellas exigen	Los padres exigen que los hijos estudien.	Parents demand that their children study.
abajo	down, below, downward	adverb				Él siempre se sienta abajo.	He always sits down below.
opinión	opinion, view	noun	feminine	opiniones		La opinión de mi madre es muy importante para mí.	My mother's opinion is very important to me.
aumentar	to increase	verb			aumento, aumentas, aumenta, aumentamos, aumentáis, aumentan	Los precios aumentan cada año.	The prices increase every year.
recoger	to pick up	verb			recogeré, recogerás, recogerá, recogeremos, recogeréis, recogerán	Voy a recoger la comida.	I'm going to pick up the food.
boca	mouth, entrance, opening	noun	feminine	bocas		La boca de mi abuela es muy grande.	My grandmother's mouth is very big.
dirección	direction, address	noun	feminine	direcciones		La dirección de la oficina está en el centro de la ciudad.	The office address is in the center of the city.
puro	pure, clean	adjective				Tengo una camisa puro blanca.	I have a pure white shirt.
abandonar	to abandon, leave (a place)	verb			abandono,abandonas,abandona,abandonamos,abandonáis,abandonan	Mis amigos me abandonaron.	My friends abandoned me.
pieza	piece, part	noun	feminine	piezas		La pieza es muy bonita.	The piece is very pretty.
profesional	professional	adjective				Los profesionales son muy competentes.	Professionals are very competent.
imponer	to impose, enforce	verb			imposo, impones, impone, imponemos, imponéis, imponen	El gobierno impone nuevas leyes.	The government imposes new laws.
obligar	to obligate, force	verb			yo obligo, tú obligas, él/ella obliga, nosotros obligamos, vosotros obligáis, ellos/ellas obligan	Los padres obligan a sus hijos a estudiar.	The parents obligate their children to study.
físico	physical	adjective				El profesor de física es muy inteligente.	The physics professor is very intelligent.
actitud	attitude	noun	feminine	actitudes		Tengo una actitud positiva hacia la vida.	I have a positive attitude towards life.
mar	sea	noun	masculine	mares		El mar es azul.	The sea is blue.
francés	French	adjective				Los franceses son conocidos por su amabilidad.	The French are known for their kindness.
entrada	entrance, admission ticket	noun	feminine	entradas		La entrada es gratuita.	The entrance is free.
contacto	contact	noun	masculine	contactos		El contacto entre los dos países es muy importante.	The contact between the two countries is very important.
corazón	heart, core	noun	masculine	corazones		Mi corazón late con fuerza.	My heart beats strongly.
aplicar	to apply	verb			aplico, aplicas, aplica, aplicamos, aplicáis, aplican	Ella aplica la ley con justicia.	She applies the law with justice.
capital	capital; city (f), money (m)	noun	feminine	capitals		La capital de España es Madrid.	The capital of Spain is Madrid.
rápido	quick, fast	adjective				El coche es muy rápido.	The car is very fast.
título	title, heading	noun	masculine	títulos		El título de la película es muy interesante.	The title of the movie is very interesting.
pertenecer	to belong	verb			yo pertenezco, tú perteneces, él/ella/usted pertenece, nosotros/as pertenecemos, vosotros/as pertenecéis, ellos/ellas/ustedes pertenecen	Yo pertenezco a un club de lectura.	I belong to a reading club.
cuarto	room, chamber	noun	masculine	cuartos		El cuarto es muy grande.	The room is very big.
material	material, element	noun	masculine	materiales		El material es muy importante para la construcción.	The material is very important for the construction.
golpe	hit, strike, punch	noun	masculine	golpes		El niño recibió un golpe en la cabeza.	The boy received a blow to the head.
disponer	to have means, dispose	verb			yo dispongo, tú dispones, él/ella/usted dispone, nosotros/as disponemos, vosotros/as disponéis, ellos/ellas/ustedes disponen	Vamos a disponer una reunión.	Let's arrange a meeting.
comunicación	communication	noun	feminine	comunicaciones		La comunicación es importante para la vida diaria.	Communication is important for daily life.
expresar	to express	verb			expreso, expresas, expresa, expresamos, expresáis, expresan	Él expresa sus opiniones con claridad.	He expresses his opinions clearly.
simple	simple, mere, simple-minded	adjective				Es una simple tarea.	It's a simple task.
totalmente	totally, completely	adverb				Ella habla totalmente en español.	She speaks completely in Spanish.
provocar	to cause, provoke	verb			provocar, provocas, provoca, provocamos, provocáis, provocan	El niño provocó una discusión.	The child provoked a discussion.
normal	normal, usual, regular	adjective				Todo está normal.	Everything is normal.
defender	to defend, protect	verb			defiendo, defiendes, defiende, defendemos, defendéis, defienden	Yo defiendo mi casa.	I defend my house.
enfermedad	illness, sickness	noun	feminine	enfermedades		La enfermedad es una amenaza para la humanidad.	The disease is a threat to humanity.
bien	goods, property, benefit	adverb				Bien trabajas.	You work well.
materia	matter, subject	noun	feminine	materias		La materia es importante para el estudio.	The subject matter is important for study.
quitar	to remove, take away	verb			quito, quitas, quita, quitamos, quitáis, quitan	Él quita la mesa para limpiar.	He removes the table to clean.
conservar	to conserve, preserve	verb			conservo, conservas, conserva, conservamos, conserváis, conservan	Los estudiantes conservan sus libros.	The students keep their books.
moderno	modern	adjective				Este edificio es muy moderno.	This building is very modern.
sitio	place, space	noun	masculine	sitios		El sitio es muy bonito.	The site is very nice.
depender	to depend on	verb			dependo, dependes, depende, dependemos, dependéis, dependen	Todo depende de la situación.	Everything depends on the situation.
